year0,orig,dest,sd_drop_neg,sd_rev_neg,mig_rate,da_min_open,da_min_closed,da_pb_closed
1990,IND,DJI,0,0,0,0,0,0
1990,IRN,DJI,0,0,0,0,0,0
1990,MDV,DJI,0,0,0,0,0,0
1990,NPL,DJI,0,0,0,0,0,0
1990,PAK,DJI,0,0,0,0,0,0
1990,LKA,DJI,0,0,0,0,0,0
1990,ARM,DJI,0,0,0,0,0,0
1990,AZE,DJI,0,0,0,0,0,0
1990,BHR,DJI,0,0,0,0,0.15,0.97
1990,CYP,DJI,0,0,0,0,0,0.17
1990,GEO,DJI,0,0,0,0,0,0
1990,IRQ,DJI,0,0,0,0,0,0.43
1990,ISR,DJI,0,0,0,0,0,1.25
1990,JOR,DJI,0,0,0,0,0,0.01
1990,KWT,DJI,0,0,0,0,9.37,13.2
1990,LBN,DJI,0,0,0,0,0,1.11
1990,OMN,DJI,0,0,0,0,0,0
1990,QAT,DJI,0,0,0,0,0,0.23
1990,SAU,DJI,0,0,0,0,0,36.2
1990,PSE,DJI,0,0,0,0,0,0
1990,SYR,DJI,0,0,0,0,0,0.4
1990,TUR,DJI,0,0,0,0,0,0.06
1990,ARE,DJI,0,0,0,0,0,6.43
1990,YEM,DJI,0,0,123.57,0,63.05,167.89
1990,BLR,DJI,0,0,0,0,0,0
1990,BGR,DJI,0,0,0,0,0.01,0.2
1990,CZE,DJI,0,0,0,0,0,0
1990,HUN,DJI,0,0,0,0,0.01,0.02
1990,POL,DJI,0,0,0,0,0,0
1990,MDA,DJI,0,0,0,0,0,0
1990,ROU,DJI,0,0,0,0,0,0
1990,RUS,DJI,0,0,0,0,0,0
1990,SVK,DJI,0,0,0,0,0,0
1990,UKR,DJI,0,0,0,0,0,0
1990,DNK,DJI,0,0,0,0,0,3.09
1990,EST,DJI,0,0,0,0,0,0
1990,FRO,DJI,0,0,0,0,0,0
1990,FIN,DJI,0,0,0,0,0,0.12
1990,ISL,DJI,0,0,0,0,0,0
1990,IRL,DJI,0,0,0,0,0,0
1990,IMN,DJI,0,0,0,0,0,0
1990,LVA,DJI,0,0,0,0,0,0
1990,LTU,DJI,0,0,0,0,0,0
